Bucear,To Scuba Dive
Deshacer,To Undo
Enganar,To Deceive
Juntar,To Gather
Masticar,To Chew
Nadar,To Swim
Pensar,To Think
Quemar(se),To Burn
Abandonar,To Abandon
Avanzar,To Advance
Bailar,To Dance
Cerrar,To Close
Cuidar,To Take Care Of
Curar,To Cure
Imprimir,To Print
Insistir,To Insist
Maullar,To Meow
Recomendar,To Recommend
Servir,To Serve
Silbar,To Whistle
Vomitar,To Vomit
Abrazar,To Embrace
Abrir,To Open
Aburrir(se),To Be Bored/To Bore
Acabar,To Finish
Aceptar,To Accept
Acercar,To Zoom In
Aclarar,To Clarify
Acompanar,To Accompany
Aconsejar,To Advise
Acordarse,To Remember
Acostarse,To Lie Down
Acostumbrarse,To Get Used To
Actuar,To Act
Adelantar,To Pass
Adelgazar,To Lose Weight
Adivinar,To Guess
Admitr,To Admit
Advertir,To Notify
Afeitarse,To Shave
Afirmar,To Affirm
Agarrar,To Grab
Agotar,To Use Up
Agradar,To Please
Agradecer,To Thank
Agrandar,To Enlarge
Agrupar,To Group
Aguantar,To Endure
Ahorrar,To Save
Alcanzar,To Reach
Alegar,To Allege
Alejar,To Move Away
Almorzar,To Eat Lunch
Alquilar,To Rent
Amanecer,To Dawn
Amar,To Love
Amenazar,To Threaten
Andar,To Walk
Anochecer,To Get Dark
Anadir,To Add
Apagar,To Turn Off
Aparcar,To Park
Aparecer,To Appear
Apoyar,To Support
Aprender,To Learn
Apretar,To Squeeze
Aprobar,To Pass
Arreglar,To Fix
Arrepentirse,To Regret
Asustar,To Scare
Atacar,To Attack
Atender,To Help
Aumentar,To Increase
Avisar,To Warn
Ayudar,To Help
Bajar,To Go Down
Banar,To Bathe
Barrer,To Sweep
Beber,To Drink
Besar,To Kiss
Borrar,To Erase
Burlarse,To Make Fun Of
Buscar,To Look For
Caber,To Fit
Caerse,To Fall
Calcular,To Calculate
Calentar,To Heat
Callarse,To Be Quiet
Calmarse,To Calm Down
Cambiar,To Change
Caminar,To Walk
Cansar(se),To Get Tired
Cantar,To Sing
Cargar,To Charge
Casarse,To Get Married
Castigar,To Punish
Causar,To Cause
Cazar,To Hunt
Celebrar,To Celebrate
Cenar,To Have Dinner
Charlar,To Chat
Chatear,To Chat
Chocar,To Crash
Cobrar,To Charge
Cocinar,To Cook
Coger,To Catch
